pathway_source,pathway,odds_ratio,p_value
k,B cell receptor signaling pathway,131.28920454545454,2.7167699088938223e-06
w,11p11.2 copy number variation syndrome ,124.07246376811594,0.0001536711802491824
w,T-cell receptor signaling,76.10177865612648,0.0003969551739825133
k,Staphylococcus aureus infection,72.78922495274102,0.00043288727819452695
w,B cell receptor signaling,70.4878718535469,0.0004608380223452507
w,Complement system,69.03272075302554,0.00047994796872217213
k,AGE-RAGE signaling pathway in diabetic complications,67.63636363636364,0.0004994382699108863
k,Leukocyte transendothelial migration,58.725400457665906,0.000657692837846609
k,T cell receptor signaling pathway,56.25429302155645,0.0007151594997909879
k,Thyroid hormone signaling pathway,55.78478260869565,0.0007269345373424088
k,Natural killer cell mediated cytotoxicity,51.48695652173913,0.0008498327570528766
w,Wnt signaling,50.705533596837945,0.0008755326033628513
w,Hepatitis B infection,44.61043478260869,0.0011235320106329997
k,Oxytocin signaling pathway,44.31442556867262,0.0011381874213260597
k,Hepatitis B,41.816847826086956,0.0012742197815568087
w,Chemokine signaling,40.794803817603395,0.0013370601243457194
k,Wnt signaling pathway,39.585284280936456,0.001417663904013752
k,Neutrophil extracellular trap formation,37.368957979111,0.0015856893910951638
k,Chemokine signaling pathway,35.387163561076605,0.0017627589696571362
k,Proteoglycans in cancer,33.43608695652174,0.001967915123645931
k,Human immunodeficiency virus 1 infection,32.30245746691872,0.0021040981157124565
r,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C),535.3958333333334,0.0022668384278020097
k:w,Focal adhesion,30.668129238133226,0.0023268929242326675
k,Calcium signaling pathway,26.947755960729314,0.0029885993996635577
w,IL18 signaling,24.653296967752286,0.0035488019267582633
w,Physiopathology of endothelial dysfunction in coronavirus disease,292.0151515151515,0.0038829876462510575
w,Serotonin and anxiety-related events,267.6770833333333,0.004205915771527831
k,MAPK signaling pathway,22.563748531139836,0.004208948210507859
k:w,Human cytomegalovirus infection,20.670345941580294,0.0049809124050998925
w,Cells and molecules involved in local acute inflammatory response ,200.74739583333334,0.005496623544146111
w,Platelet-mediated interactions with vascular and circulating cells,200.74739583333334,0.005496623544146111
w,Serotonin and anxiety,200.74739583333334,0.005496623544146111
w,Ulcerative colitis signaling,188.93627450980392,0.0058190494549940595
r,Disinhibition of SNARE formation,178.4375,0.006141375012815678
w,Extracellular vesicles in the crosstalk of cardiac cells,152.9404761904762,0.007107749867411919
w,Vitamin D in inflammatory diseases,152.9404761904762,0.007107749867411919
w,Cancer immunotherapy by PD-1 blockade,145.98674242424244,0.007429674312374892
w,Physiological and pathological hypertrophy of the heart,139.63768115942028,0.007751498553892181
w,miR-targeted genes in muscle cell,16.3862835167183,0.007763392489085076
w,VEGFA-VEGFR2 signaling,15.541501976284586,0.008584725626116847
w,Sphingolipid metabolism in senescence,118.94444444444444,0.009037794083187181
w,PDGFR-beta pathway,114.69494047619048,0.009359117755663457
w,T cell receptor and co-stimulatory signaling,114.69494047619048,0.009359117755663457
w,GPR143 in melanocytes and retinal pigment epithelium cells,110.73850574712644,0.009680341403909321
r,FCERI mediated Ca+2 mobilization,14.425183512140034,0.009886665704110637
w,G-protein beta:gamma signaling,103.59139784946237,0.01032248874705891
w,Initiation of transcription and translation elongation at the HIV-1 LTR,103.59139784946237,0.01032248874705891
r,Ciprofloxacin ADME,100.35286458333333,0.010643412501615882
w,16p11.2 distal deletion syndrome,97.31060606060606,0.010964236351248923
w,miR-targeted genes in lymphocytes,13.457707509881423,0.011270952919966862
k,African trypanosomiasis,94.44730392156863,0.011284960325763402
r,GDP-fucose biosynthesis,89.19791666666667,0.011926108768615478
k,Aldosterone-regulated sodium reabsorption,86.78603603603604,0.012246533296521263
w,Kisspeptin/kisspeptin receptor system in the ovary,84.50109649122807,0.012566858068444818
w,Common pathways underlying drug addiction,80.27395833333334,0.01320720846338811
w,miRNA in muscle cell differentiation,80.27395833333334,0.01320720846338811
r,Organic anion transport,80.27395833333334,0.01320720846338811
r,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,80.27395833333334,0.01320720846338811
w,Inflammatory bowel disease signaling,76.44940476190476,0.013847160191446202
w,Chronic hyperglycemia impairment of neuron function,71.35,0.014806340803416045
w,Envelope proteins and their potential roles in EDMD physiopathology,71.35,0.014806340803416045
w,15q25 copy number variation,69.79800724637681,0.01512586859823084
w,Heart development,69.79800724637681,0.01512586859823084
w,IL26 signaling,69.79800724637681,0.01512586859823084
k,Carbohydrate digestion and absorption,68.31205673758865,0.015445296904623398
k,Malaria,66.88802083333333,0.01576462575228017
r,Downstream signaling events of B Cell Receptor (BCR),11.143543805986454,0.016051592780969914
r,Regulation of Complement cascade,11.031797534068787,0.016355703216717483
k,Endocrine and other factor-regulated calcium reabsorption,62.950980392156865,0.01672201583957356
w,IL1 signaling,59.451388888888886,0.01767851186614503
w,RANKL/RANK signaling,59.451388888888886,0.01767851186614503
w,Proximal tubule transport,57.326636904761905,0.018315679578628802
w,Dengue-2 interactions with complement and coagulation cascades,55.348419540229884,0.0189524505233502
w,Kit receptor signaling,55.348419540229884,0.0189524505233502
k,Long-term depression,54.409604519774014,0.01927068728179931
k,VEGF signaling pathway,54.409604519774014,0.01927068728179931
w,Modulators of TCR signaling and T cell activation,53.50208333333333,0.019588824937090167
w,DYRK1A involvement regarding cell proliferation in brain development,52.62431693989071,0.019906863518799247
r,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,52.62431693989071,0.019906863518799247
r:w,Complement cascade,9.905008747489147,0.019973230661113152
w,T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection,50.95238095238095,0.02054264357973583
k,GnRH secretion,50.155598958333336,0.020860385118074184
k,Inflammatory bowel disease,50.155598958333336,0.020860385118074184
w,Oncostatin M signaling,50.155598958333336,0.020860385118074184
r,Transport of nucleotide sugars,50.155598958333336,0.020860385118074184
w,AGE/RAGE pathway,49.38333333333333,0.021178027701052385
k,Amphetamine addiction,47.907960199004975,0.021813016119057105
w,Th17 cell differentiation pathway,47.20281862745098,0.02213036201312696
k,Gastric acid secretion,43.37218468468468,0.02403236282702918
k,Glioma,43.37218468468468,0.02403236282702918
k,Thyroid hormone synthesis,43.37218468468468,0.02403236282702918
k,Leishmaniasis,42.79333333333334,0.024349017479402546
k,Pancreatic cancer,42.2297149122807,0.02466557350082983
w,Regulatory circuits of STAT3 signaling,41.68073593073593,0.024982030920752726
w,Clock-controlled autophagy in bone metabolism,40.62447257383966,0.025614650073810096
w,G alpha (12/13) signaling events,40.62447257383966,0.025614650073810096
k:w,Non-small cell lung cancer,40.62447257383966,0.025614650073810096
w,Glioblastoma signaling,39.136686991869915,0.026562840027672313
w,EGFR tyrosine kinase inhibitor resistance,38.66465863453815,0.026878706456373844
k,ErbB signaling pathway,38.20386904761905,0.02719447448942756
k,Insulin secretion,38.20386904761905,0.02719447448942756
r,Calcineurin activates NFAT,37.314437984496124,0.02782571548608124
w,T-cell activation SARS-CoV-2,37.314437984496124,0.02782571548608124
k:w,Complement and coagulation cascades,36.88505747126437,0.02814118850840504
w,Hair follicle development: cytodifferentiation - stage 3 of 3,36.88505747126437,0.02814118850840504
k,Bile secretion,36.46543560606061,0.028456563252528745
r,CLEC7A (Dectin-1) induces NFAT activation,36.46543560606061,0.028456563252528745
k,GABAergic synapse,36.46543560606061,0.028456563252528745
k,Gap junction,36.46543560606061,0.028456563252528745
w,Pancreatic adenocarcinoma pathway,36.46543560606061,0.028456563252528745
k,Salivary secretion,36.46543560606061,0.028456563252528745
r,WNT5A-dependent internalization of FZD4,36.46543560606061,0.028456563252528745
k,PD-L1 expression and PD-1 checkpoint pathway in cancer,36.05524344569288,0.028771839747793314
w,G protein signaling,35.65416666666667,0.029087018023531305
k,Morphine addiction,35.65416666666667,0.029087018023531305
w,Corticotropin-releasing hormone signaling,35.26190476190476,0.029402098109066965
w,ErbB signaling,35.26190476190476,0.029402098109066965
k,GnRH signaling pathway,35.26190476190476,0.029402098109066965
k,Th1 and Th2 cell differentiation,35.26190476190476,0.029402098109066965
r,Organic cation/anion/zwitterion transport,34.87817028985507,0.02971708003371617
k,Aldosterone synthesis and secretion,33.77543859649123,0.030661437135377417
k,Circadian entrainment,33.77543859649123,0.030661437135377417
w,p75 NTR receptor-mediated signaling,33.77543859649123,0.030661437135377417
k,Fc gamma R-mediated phagocytosis,33.423177083333336,0.030976026709471492
k,Phosphatidylinositol signaling system,33.423177083333336,0.030976026709471492
w,Hippo signaling regulation,33.078178694158076,0.03129051826913271
k,Inflammatory mediator regulation of TRP channels,33.078178694158076,0.03129051826913271
k,Choline metabolism in cancer,32.740221088435376,0.03160491184362671
k:w,Melanogenesis,32.40909090909091,0.03191920746221074
